id;component;title;severity;status;summary;urgency;target_sprint;url_tracker
333070;firstinstall;[Boot et Install] - parental control configuration is not kept after migration from MIB4-lot1 to Phoenix;5 - Major;New;[Boot et Install] - parental control configuration is not kept after migration from MIB4-lot1 to Phoenix;U1-Urgent;;https://www.forge.orange-labs.fr:443/plugins/tracker/?aid=333070
347952;mediacenter;[multimedia][Mediacenter][FUT] Le champ rotation pas interprété par le player vidéo pour replacer une vidéo dans le bon sens;3;Waiting for information;[multimedia][Mediacenter][FUT] Le champ rotation pas interprété par le player vidéo pour replacer une vidéo dans le bon sens;U2-Medium;;https://www.forge.orange-labs.fr:443/plugins/tracker/?aid=347952
348338;mediacenter;[multimedia][Mediacenter][FUT] Mauvais rangement des médias (photo,vidéo, musique)  après une indexation;5 - Major;New;[multimedia][Mediacenter][FUT] Mauvais rangement des médias (photo,vidéo, musique)  après une indexation;U2-Medium;Phoenix R1S25;https://www.forge.orange-labs.fr:443/plugins/tracker/?aid=348338
348339;mediacenter;[multimedia][Mediacenter][FUT] Dans la vue non indexée, le tri par date ne marche pas;3;Unconfirmed;[multimedia][Mediacenter][FUT] Dans la vue non indexée, le tri par date ne marche pas;U2-Medium;;https://www.forge.orange-labs.fr:443/plugins/tracker/?aid=348339
348812;mediacenter;[multimedia] Activation du mode pass through puis changement de piste audio;5 - Major;Waiting for information;[multimedia] Activation du mode pass through puis changement de piste audio;U2-Medium;Aucun;https://www.forge.orange-labs.fr:443/plugins/tracker/?aid=348812
365273;mediacenter;[Multimedia][mediacenter] recherche mal interprété;5 - Major;Waiting for information;[Multimedia][mediacenter] recherche mal interprété;U2-Medium;;https://www.forge.orange-labs.fr:443/plugins/tracker/?aid=365273
366148;orange&me;[Orange et Moi] La popup code adulte bloqué n'est pas la même dans Orange et Moi que dans la VOD ou le Live;3;New;[Orange et Moi] La popup code adulte bloqué n'est pas la même dans Orange et Moi que dans la VOD ou le Live;U2-Medium;Aucun;https://www.forge.orange-labs.fr:443/plugins/tracker/?aid=366148
367424;autodiag;[autodiag] pas de résolution des problèmes de NTP;5 - Major;New;[autodiag] pas de résolution des problèmes de NTP;U2-Medium;Aucun;https://www.forge.orange-labs.fr:443/plugins/tracker/?aid=367424
368702;mediacenter;[FUT][Mediacenter] Audio [FLAC ] certains morceaux ne fonctionnent pas;3;New;[FUT][Mediacenter] Audio [FLAC ] certains morceaux ne fonctionnent pas;U2-Medium;Aucun;https://www.forge.orange-labs.fr:443/plugins/tracker/?aid=368702
368706;mediacenter;[FUT][Mediacenter] Mauvaise durée lecture avi xvid entrainant coupure avant la fin;9 - Critical;New;[FUT][Mediacenter] Mauvaise durée lecture avi xvid entrainant coupure avant la fin;U1-Urgent;Phoenix R1S27;https://www.forge.orange-labs.fr:443/plugins/tracker/?aid=368706
